QKEY,INTERVIEW_START_W146,INTERVIEW_END_W146,DEVICE_TYPE_W146,LANG_W146,FORM_W146,CONVFAM_POL_W146,CONVFAM_JOB_W146,CONVFAM_MDIA_W146,CONVFAM_RLG_W146,CONVFAM_SPRT_W146,CONVFAM_HLTH_W146,CONVFAM_NAT_W146,CONVFAM_LOC_W146,CONVFAM_FAM_W146,CONVFAM_CELEB_W146,CONVFAM_MONEY_W146,CONVFAM_PETS_W146,POL1JB_W146,POL1JBSTR_W146,CAMPNII_W146,PRZCMPGN_W146,MATTERS_W146,VOTEGEN_W146,VOTEGEN3_W146,QUALPRES_TRMP_MF_W146,QUALPRES_TRMP_PHY_W146,QUALPRES_TRMP_ADV_W146,QUALPRES_TRMP_ETH_W146,QUALPRES_TRMP_RSP_W146,QUALPRES_BDN_MF_W146,QUALPRES_BDN_PHY_W146,QUALPRES_BDN_ADV_W146,QUALPRES_BDN_ETH_W146,QUALPRES_BDN_RSP_W146,ELECTFTIGUE_W146,CMFRT_LIST_PRN_W146,CMFRT_LIST_ENG_W146,CMFRT_LIST_PRY_W146,CMFRT_LIST_MDN_W146,GOVSIZE1_W146,GOVT_ROLE_W146,USEXCEPT_W146,REGULATE_W146,ALLIES_W146,DISCRIM_W146,USASOLVE_W146,GOVWASTE_W146,RELIG_GOV_W146,DIVERSEPOP_MOD_W146,POLICY3MOD_W146,PRESGOODTRUMP_W146,PRESGOODBIDEN_W146,OPENIDEN_W146,NECCGOD_W146,BUSPROFIT_W146,GAINS_W146,ACTIVE_W146,GOVNEEDY_W146,MARRFAM_W146,US_ACTIVE_W146,TRANSGEND1_W146,AMDREAM1_W146,AMDREAMPOSS_W146,CONCEDE_W146,IVF_GDBD_W146,RGHTCNTRL_W146,GUNIMPCT_W146,BUSPOWER3_W146,POORASSIST_W146,SUPERPWR_W146,SOCIETY_SSM_W146,SOCIETY_RELG_W146,SOCIETY_LGB_W146,SOCIETY_WHT_W146,SOCIETY_EC_W146,SOCIETY_BC_W146,SOCIETY_THER_W146,SOCIETY_CHILD_W146,SOCIETY_AI_W146,SOCIETY_GUNS_W146,PROBOFF_a_W146,PROBOFF_b_W146,POLINTOL2_REP_W146,POLINTOL2_DEM_W146,ABRTLGL_W146,ABORTION3_W146,ABORTION4_W146,ABRTN_MED_W146,POLIMPT_SFE_W146,POLIMPT_RGHT_W146,POLIMPT_RCL_W146,POLIMPT_RESP_W146,GLBLZE_W146,GLBLZEREV_W146,GLBLZESUM_W146,RACESURV17_W146,CLMSRS1_W146,FIN_SIT_W146,ABRTVIEW_a_W146,ABRTVIEW_b_W146,ABRTVIEW_c_W146,LGLSTATUS_W146,NATLDPRT_W146,LGL_CITIZPRENSHIP_W146,LAWCOST_W146,ECONFAIR_W146,WOMENOBS_W146,GOVAID_W146,SUCCINLIFE_W146,GOODEVIL_W146,CRIMJUST_TGH_W146,MILSAFE_W146,WHADVANT_W146,AMHIST_FAIL_W146,AMHIST_SUCC_W146,GOVTHC_W146,SNGLPYER_W146,NOGOVTHC_W146,SOCSEC_FUT_W146,SOCSEC_RED_W146,SOCSEC_KEEP_W146,DTINDICTHRD_W146,DTINDICTLGL_W146,RPLC_W146,SEEKPOL_W146,SOURCEPOL_W146,AGEATTN1_a_W146,AGEATTN1_b_W146,AGEATTN2_a_W146,AGEATTN2_b_W146,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,HORSE_W146,HORSE_W151,WEIGHT_W146,WEIGHT_W146_W151
295961,2024-04-09T18:20:14Z,2024-04-09T18:32:57Z,1,1,1,2,2,1,3,2,2,,,,,,,1,99,,1,1,2,,5,3,5,5,5,2,2,1,1,1,2,2,1,,,,1,2,1,1,1,,,,1,1,5,2,1,1,1,2,,,,2,2,1,,1,,2,,2,,1,3,3,,,2,1,1,,,,1,2,,,2,3,3,,,,,,,2,1,2,2,1,2,5,,2,,2,2,1,1,,,,3,,,2,2,1,1,,,,,1,1,,1,2,2,1,,,2,1,2,3,4,2,1,6,2,,1,1,1,1,1,10,,3,6,2,,2,4,1,8,4,2,1,2,2,,0.9966908794699285,
296049,2024-04-09T18:19:44Z,2024-04-09T20:44:32Z,1,1,2,,,,,,,1,1,1,2,1,2,2,2,3,,1,2,,5,4,3,3,3,5,5,3,4,4,1,,,2,2,2,,3,,,,2,99,2,3,1,4,4,2,,,,2,2,2,,1,,1,4,3,,1,,3,,,,5,3,,,,5,1,3,,,1,1,3,2,,2,1,1,1,1,2,,2,1,1,2,5,,1,1,1,,,,,2,2,1,,1,1,,,,,,2,,2,,,1,1,2,,,1,1,1,3,6,2,3,2,1,6,2,,1,2,2,1,1,1,1,1,4,2,,2,4,1,8,4,1,1,2,2,,0.2977821044618677,
298035,2024-04-10T00:11:40Z,2024-04-10T00:35:29Z,3,1,2,,,,,,,2,2,1,2,3,2,2,2,1,,1,1,,3,2,3,4,3,5,5,5,5,5,2,,,1,1,1,,1,,,,2,1,2,1,1,2,5,1,,,,1,2,1,,1,,1,1,2,,1,,2,,,,2,3,,,,5,4,4,,,2,1,4,4,,2,1,3,2,2,1,,1,2,4,1,5,,1,1,1,,,,,1,2,1,,1,3,,,,,,1,2,,,,1,1,2,,,2,2,1,2,3,2,4,1,1,6,2,,1,1,1,1,1,2,2,2,2,1,,1,1,1,5,2,2,2,2,1,,0.6823862131485385,
298722,2024-04-11T14:00:05Z,2024-04-11T14:19:39Z,1,1,2,,,,,,,2,2,2,2,2,3,1,1,2,,1,2,,5,5,5,5,5,2,2,1,1,1,2,,,2,1,1,,2,,,,1,1,1,1,3,5,2,1,,,,1,1,1,,2,,1,1,1,,2,,1,,,,1,3,,,,3,4,5,,,3,2,2,1,,1,2,2,2,3,1,,1,2,1,1,2,,3,2,,2,,,,2,1,1,,1,1,,,,,,2,,2,,,1,1,2,,,1,2,2,2,3,3,4,1,3,2,2,,1,1,1,1,1,12,,3,5,2,,2,3,1,4,3,1,2,2,2,2,0.5580682733612375,0.5585552640361158
299327,2024-04-09T17:42:28Z,2024-04-09T17:58:56Z,2,1,2,,,,,,,2,2,2,3,3,1,2,1,1,,1,1,,1,1,1,1,1,5,5,5,5,5,1,,,1,1,1,,1,,,,1,1,1,1,1,1,5,2,,,,2,2,1,,1,,1,1,1,,1,,3,,,,3,3,,,,5,5,1,,,4,1,3,3,,3,1,3,2,1,2,,2,4,5,2,2,,3,1,1,,,,,1,2,1,,1,4,,,,,,2,,2,,,4,1,2,,,1,3,1,3,5,2,3,2,2,4,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,9,2,2,1,2,1,,0.6456255147680888,
299715,2024-04-09T19:53:38Z,2024-04-09T20:15:41Z,1,1,2,,,,,,,2,3,2,3,3,1,2,1,4,,2,1,,3,4,4,3,3,5,5,5,4,5,2,,,1,1,2,,1,,,,1,2,1,3,3,3,5,1,,,,1,1,1,,1,,1,4,1,,2,,3,,,,3,3,,,,3,4,3,,,3,3,2,2,,1,1,3,3,1,1,,1,3,4,2,1,,5,1,1,,,,,1,2,1,,1,3,,,,,,2,,2,,,1,2,6,,,2,3,1,2,4,2,4,1,3,2,2,,1,1,1,1,6,12,,3,6,3,1,1,2,1,2,3,2,2,2,1,,0.6866662106478265,
300536,2024-04-10T22:17:45Z,2024-04-10T22:28:10Z,2,1,1,3,2,1,2,2,1,,,,,,,2,1,,2,1,,2,3,3,3,3,3,3,3,3,3,3,2,1,1,,,,1,1,1,2,2,,,,3,3,3,4,1,1,1,1,,,,3,2,2,,2,,1,,3,,1,3,4,,,3,3,3,,,,2,2,,,3,2,3,,,,,,,1,2,3,4,3,5,3,,2,,1,2,1,1,,,,3,,,4,5,1,2,,,,,3,2,,1,2,3,3,,,1,3,5,2,3,2,3,1,2,,1,2,2,1,1,3,1,4,4,2,,2,3,2,1,1,4,2,1,,,0.5860614709031791,
300603,2024-04-09T18:52:24Z,2024-04-09T19:11:45Z,1,1,1,1,1,1,1,1,1,,,,,,,1,2,,1,1,2,,5,5,5,5,5,2,3,2,1,1,2,2,2,,,,1,2,1,1,1,,,,1,3,5,5,2,2,1,2,,,,1,2,3,,1,,2,,2,,2,3,4,,,3,2,1,,,,3,1,,,2,2,2,,,,,,,1,2,1,1,1,1,4,,2,,1,2,1,1,,,,2,,,1,1,1,2,,,,,1,1,,1,2,2,1,,,1,2,3,2,4,1,2,4,2,,1,2,2,1,1,1,2,1,4,2,,2,4,1,7,4,2,2,2,2,,0.411402293530701,
300660,2024-04-09T18:53:36Z,2024-04-09T19:17:45Z,2,1,2,,,,,,,1,1,1,3,3,1,2,1,2,,1,1,,1,1,1,1,1,5,5,5,5,5,2,,,2,1,1,,1,,,,1,1,1,3,3,1,5,1,,,,2,2,1,,1,,2,1,3,,1,,99,,,,3,5,,,,3,5,1,,,3,1,99,2,,3,1,1,1,1,2,,2,99,5,3,2,,1,1,1,,,,,1,2,1,,1,4,,,,,,2,,2,,,4,1,2,,,99,3,1,2,4,3,4,2,1,5,2,,1,1,1,1,2,11,,4,5,1,,1,1,1,3,2,2,2,2,1,,0.6206341004568755,
301013,2024-04-09T20:35:56Z,2024-04-09T20:48:50Z,2,1,2,,,,,,,1,3,1,3,2,1,2,1,3,,1,1,,1,2,2,2,1,5,5,5,5,5,2,,,1,2,1,,1,,,,2,1,1,2,3,1,5,2,,,,2,2,2,,1,,2,2,1,,1,,2,,,,3,3,,,,2,2,2,,,3,1,3,3,,2,1,3,2,1,2,,2,4,5,1,5,,1,1,1,,,,,1,2,1,,1,4,,,,,,2,,2,,,4,2,2,,,2,3,1,2,3,2,3,2,3,2,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,8,2,2,2,2,1,1,0.690446694010009,0.9372450993014689
301706,2024-04-09T17:59:58Z,2024-04-09T18:11:38Z,2,1,1,2,2,3,3,1,2,,,,,,,2,2,,2,4,3,2,5,5,5,5,5,4,5,4,3,3,2,2,1,,,,2,3,2,1,2,,,,1,3,4,4,1,1,2,2,,,,2,1,1,,1,,2,,3,,2,3,4,,,3,3,2,,,,1,1,,,2,2,3,,,,,,,2,1,2,3,1,3,3,,2,,1,1,1,2,,,,1,,,2,2,2,,2,,,,3,1,,1,2,2,2,,,1,2,3,3,4,1,1,6,2,,1,1,1,1,5,2,2,2,2,1,,1,2,1,9,3,2,1,3,2,,0.46803470765968186,
302362,2024-04-09T18:09:57Z,2024-04-09T18:32:56Z,2,1,1,3,2,2,1,1,1,,,,,,,2,1,,3,1,1,,1,1,2,1,2,5,5,5,5,5,1,1,2,,,,1,1,1,2,2,,,,2,3,1,4,2,2,2,99,,,,1,1,3,,4,,1,,2,,1,5,3,,,3,1,1,,,,1,1,,,3,1,1,,,,,,,1,2,1,2,4,5,1,,2,,1,2,2,2,,,,2,,,5,5,1,2,,,,,3,4,,2,2,1,2,,,1,3,6,2,3,2,1,6,2,,1,1,1,1,1,1,1,1,4,1,,1,2,1,1,3,1,2,1,1,1,0.7510028794669911,1.0102738639842672
302389,2024-04-09T18:14:33Z,2024-04-09T18:24:47Z,1,1,1,2,2,2,2,2,2,,,,,,,2,1,,1,1,1,,1,2,2,2,2,5,5,4,5,4,1,2,2,,,,1,1,2,2,2,,,,1,1,1,5,2,2,1,2,,,,3,1,2,,2,,1,,2,,1,5,4,,,4,3,2,,,,1,1,,,3,4,1,,,,,,,1,2,3,4,3,4,1,,2,,1,1,2,2,,,,2,,,2,2,1,2,,,,,3,3,,2,2,1,2,,,1,2,3,2,4,2,3,2,2,,1,1,1,1,5,1,1,1,5,1,,1,1,1,1,1,2,2,1,1,1,0.8251373336868488,0.8650908786875698
302693,2024-04-10T16:23:16Z,2024-04-10T16:41:28Z,1,1,2,,,,,,,2,3,1,3,3,1,1,1,2,,1,2,,4,1,3,5,5,2,2,1,1,1,2,,,1,1,2,,1,,,,1,1,1,1,1,5,2,1,,,,1,1,2,,2,,1,1,1,,2,,1,,,,3,3,,,,3,4,5,,,1,3,2,1,,1,1,1,1,1,2,,2,2,1,1,2,,4,2,,1,,,,2,2,2,,1,2,,,,,,2,,2,,,2,2,2,,,3,1,1,2,4,2,4,2,2,3,2,,1,1,1,1,1,10,,3,6,2,,2,4,1,6,4,2,2,2,2,2,0.7733186909719184,1.4190576028196724
302745,2024-04-11T22:37:24Z,2024-04-11T23:21:40Z,2,1,2,,,,,,,2,2,1,2,2,2,2,1,4,,1,1,,1,1,2,3,1,5,5,5,5,3,2,,,1,2,1,,2,,,,2,1,2,1,1,1,5,2,,,,2,2,1,,1,,1,2,1,,1,,2,,,,4,4,,,,4,4,2,,,3,2,3,1,,3,1,3,1,1,2,,2,3,4,2,2,,1,1,1,,,,,1,2,2,,1,3,,,,,,2,,1,,,3,2,3,,,2,2,1,4,8,2,2,2,2,3,2,,1,4,4,1,2,1,1,1,6,4,1,1,1,1,9,2,1,2,2,1,1,1.1891867169628245,0.7518745130345631
302919,2024-04-12T09:22:57Z,2024-04-12T09:47:05Z,3,1,1,2,2,2,2,2,2,,,,,,,2,1,,1,1,1,,1,1,1,1,1,5,5,5,5,5,1,2,2,,,,2,1,2,1,2,,,,2,3,1,5,2,2,2,1,,,,1,1,2,,4,,1,,2,,1,4,5,,,5,3,1,,,,1,1,,,3,2,1,,,,,,,1,2,1,4,99,5,2,,1,1,,1,2,1,,,,2,,,3,2,2,,2,,,,1,3,,1,2,3,3,,,2,3,5,3,4,2,2,3,2,,1,1,1,1,1,2,2,2,2,3,2,2,3,1,99,2,,2,99,1,1,2.344985601021088,1.5986835709341534
303072,2024-04-09T23:19:38Z,2024-04-09T23:47:36Z,1,1,2,,,,,,,2,3,2,3,3,3,2,1,3,,1,,1,2,2,3,3,2,5,5,5,5,5,1,,,1,2,1,,2,,,,2,1,1,3,99,2,5,1,,,,2,2,1,,1,,1,3,3,,99,,3,,,,5,3,,,,4,3,3,,,99,99,4,4,,2,1,1,1,1,99,,99,3,5,1,5,,1,1,1,,,,,1,2,1,,1,3,,,,,,99,,,,,99,2,2,,,2,3,1,4,9,3,4,1,3,1,2,,1,1,1,1,6,1,1,1,1,4,1,1,1,3,9,2,2,2,3,,,3.276251781289545,1.7677258338621267
303338,2024-04-09T22:01:35Z,2024-04-09T22:23:33Z,3,1,2,,,,,,,2,1,2,3,1,1,2,1,1,,1,1,,2,2,2,2,3,5,5,5,5,5,2,,,99,1,2,,2,,,,1,1,1,2,2,1,5,1,,,,2,1,2,,1,,2,1,3,,1,,3,,,,4,4,,,,2,5,3,,,3,1,3,3,,1,1,3,1,1,2,,2,4,4,4,1,,3,1,1,,,,,2,1,1,,1,3,,,,,,2,,1,,,3,1,2,,,1,3,2,4,8,3,4,2,3,2,2,,1,1,1,1,5,1,1,1,2,4,1,1,1,1,1,2,,2,1,1,,1.892830706977501,
303653,2024-04-10T12:28:27Z,2024-04-10T12:35:43Z,1,1,2,,,,,,,2,2,1,2,2,3,1,2,2,,1,2,,5,4,5,5,5,3,1,2,2,1,2,,,2,1,2,,2,,,,1,2,1,1,1,5,2,1,,,,1,1,2,,2,,3,2,1,,2,,1,,,,1,3,,,,3,3,5,,,2,2,1,3,,1,2,3,2,3,1,,1,2,1,1,1,,5,2,,1,,,,2,1,2,,3,2,,,,,,2,,1,,,1,2,2,,,2,1,1,4,9,1,3,2,1,6,2,,1,1,1,1,1,5,,4,4,2,,2,4,1,9,4,1,1,3,2,2,0.6065015692776893,1.120415576867352
303970,2024-04-10T01:04:13Z,2024-04-10T01:22:14Z,2,1,2,,,,,,,2,2,1,2,3,2,2,1,2,,2,3,1,4,4,4,5,4,5,5,5,5,5,1,,,1,1,1,,2,,,,2,1,2,2,3,5,5,2,,,,2,1,1,,1,,2,2,1,,1,,3,,,,5,3,,,,5,4,3,,,3,3,4,3,,2,2,2,2,1,2,,2,4,4,3,4,,1,1,1,,,,,1,2,2,,3,4,,,,,,2,,1,,,1,1,6,,,2,2,1,4,9,3,4,1,3,2,2,,1,1,1,1,1,3,2,4,2,1,,1,1,1,2,2,1,2,1,1,,0.8228902125232034,
304119,2024-04-09T18:50:42Z,2024-04-09T19:12:35Z,1,1,1,2,2,2,3,2,2,,,,,,,2,1,,2,1,1,,1,2,3,2,2,5,5,5,5,5,2,2,1,,,,2,1,2,2,2,,,,2,2,2,5,2,2,2,1,,,,3,1,1,,1,,1,,2,,1,3,4,,,4,1,2,,,,1,2,,,2,3,1,,,,,,,1,2,3,4,2,3,3,,1,1,,1,2,1,,,,2,,,4,4,2,,2,,,,4,2,,2,2,3,2,,,2,3,5,3,4,1,2,3,2,,1,1,1,1,2,2,2,2,5,3,1,1,1,1,2,2,2,2,2,1,,0.7183961095319495,
305771,2024-04-09T17:26:54Z,2024-04-09T17:40:45Z,2,1,2,,,,,,,2,2,1,3,2,1,2,1,2,,1,1,,2,2,2,3,2,5,5,5,4,5,2,,,2,2,1,,3,,,,2,1,1,1,3,2,5,2,,,,2,2,1,,1,,1,1,3,,1,,3,,,,5,3,,,,4,4,2,,,3,1,3,3,,3,1,2,1,1,2,,2,3,4,3,4,,2,1,1,,,,,1,2,2,,1,3,,,,,,2,,2,,,1,2,6,,,2,3,2,4,9,3,4,1,3,2,2,,1,1,1,1,1,11,,4,4,1,,1,1,1,3,2,3,2,2,1,1,1.0607003314161068,1.572713716779078
306057,2024-04-09T17:34:49Z,2024-04-09T17:47:18Z,2,1,2,,,,,,,1,1,1,2,2,2,1,1,1,,1,2,,5,5,5,5,5,1,1,1,1,1,1,,,2,1,2,,3,,,,1,2,1,1,1,5,1,1,,,,1,1,2,,1,,1,1,1,,2,,1,,,,1,2,,,,2,3,5,,,1,1,1,4,,1,1,1,1,1,1,,1,1,1,2,1,,4,2,,2,,,,2,1,2,,1,1,,,,,,2,,1,,,2,1,2,,,3,1,1,1,1,3,4,1,1,5,2,,3,1,1,4,2,9,,3,6,2,,2,4,1,2,4,1,1,1,2,,0.2670389555502274,
306076,2024-04-09T21:54:48Z,2024-04-09T22:03:23Z,2,1,1,1,1,3,1,3,1,,,,,,,2,1,,1,1,1,,1,1,3,2,2,5,5,5,5,5,1,2,1,,,,2,1,2,1,2,,,,2,2,1,5,1,2,1,2,,,,1,1,3,,2,,1,,2,,1,5,5,,,4,4,4,,,,1,3,,,4,2,1,,,,,,,1,2,3,5,4,5,1,,1,1,,1,1,1,,,,2,,,3,2,2,,2,,,,3,4,,1,2,1,1,,,1,4,8,1,4,2,1,5,2,,1,1,1,1,3,2,1,2,1,4,1,1,1,1,3,2,2,1,2,1,,0.7502860758262057,
306151,2024-04-09T19:04:13Z,2024-04-09T19:23:42Z,2,1,1,3,3,1,2,2,1,,,,,,,1,1,,1,1,2,,5,5,5,5,5,3,3,2,3,2,2,2,2,,,,2,2,2,1,1,,,,3,3,5,3,2,2,1,2,,,,2,1,1,,2,,1,,2,,1,5,3,,,5,1,1,,,,1,1,,,2,2,2,,,,,,,1,2,1,1,2,2,1,,2,,2,2,1,2,,,,3,,,2,1,1,1,,,,,3,1,,2,2,2,3,,,1,3,5,1,4,2,2,3,2,,1,2,2,1,3,1,2,1,3,2,,2,3,1,2,3,1,2,2,2,,0.16585484105677736,
306597,2024-04-10T19:53:00Z,2024-04-10T20:05:57Z,1,1,1,2,1,2,1,3,1,,,,,,,1,1,,1,1,2,,4,3,5,5,5,2,3,2,1,1,2,2,1,,,,2,1,1,1,2,,,,1,3,5,2,1,2,1,2,,,,1,1,1,,1,,1,,2,,1,4,1,,,2,2,2,,,,1,1,,,3,2,3,,,,,,,1,2,4,2,3,3,1,,2,,1,2,1,1,,,,3,,,3,3,1,2,,,,,3,1,,1,2,1,2,,,1,3,6,2,3,1,3,2,2,,1,1,1,1,6,1,1,1,4,3,99,9,9,1,3,3,2,1,2,2,2,0.9112030673809978,0.7060469771724314
307537,2024-04-09T23:54:05Z,2024-04-10T00:18:42Z,3,1,2,,,,,,,2,2,1,3,3,3,2,1,1,,1,1,,1,1,1,1,1,5,5,5,5,5,2,,,1,2,1,,1,,,,1,1,2,1,3,1,5,2,,,,2,2,1,,1,,1,1,1,,1,,2,,,,5,5,,,,4,4,3,,,1,2,3,3,,2,1,2,1,1,2,,2,3,5,1,4,,1,1,1,,,,,1,2,2,,1,2,,,,,,1,2,,,,4,1,2,,,3,1,1,4,8,3,4,1,3,2,2,,1,1,1,1,1,1,1,1,1,1,,1,1,1,4,1,2,1,2,1,1,0.7570022402672891,0.6586581062839807
307718,2024-04-10T18:37:55Z,2024-04-10T18:47:40Z,1,1,1,2,2,3,3,3,2,,,,,,,2,2,,2,3,,1,3,3,3,4,3,5,5,3,2,3,1,1,1,,,,2,2,1,1,2,,,,2,1,3,3,2,1,2,2,,,,4,2,3,,3,,1,,3,,1,3,4,,,2,3,4,,,,2,3,,,2,3,1,,,,,,,1,2,2,2,2,4,5,,1,1,,2,2,1,,,,2,,,3,3,2,,1,,,,3,2,,2,2,3,3,,,1,3,5,1,3,1,1,6,2,,1,3,5,1,6,12,,3,4,1,,1,2,3,1,3,2,2,2,,,0.39882180551462726,0.5819543007443354
309053,2024-04-13T11:50:37Z,2024-04-14T13:03:47Z,2,1,1,2,1,2,3,1,2,,,,,,,2,1,,2,3,,,2,3,3,3,2,5,5,5,4,4,1,2,1,,,,2,1,1,2,1,,,,1,3,2,5,1,1,1,2,,,,3,1,2,,2,,1,,2,,1,3,4,,,3,2,1,,,,1,3,,,2,1,2,,,,,,,1,2,2,4,1,1,4,,2,,1,1,1,1,,,,1,,,3,3,1,1,,,,,4,2,,2,5,3,3,,,1,4,8,2,1,1,1,5,2,,1,1,1,1,2,1,2,1,5,3,1,1,2,2,4,3,2,2,2,,,5.085806115020713,4.169939525889269
309533,2024-04-12T06:04:50Z,2024-04-12T06:34:12Z,2,1,1,2,2,1,2,2,2,,,,,,,2,1,,1,1,,,1,1,1,1,1,5,5,5,5,5,1,1,2,,,,2,2,2,1,2,,,,3,1,1,5,2,2,2,1,,,,1,2,1,,2,,1,,3,,1,3,4,,,4,1,2,,,,1,3,,,2,4,3,,,,,,,1,2,3,5,1,3,4,,1,1,,1,2,1,,,,2,,,3,3,2,,2,,,,1,3,,1,2,1,2,,,1,3,5,2,3,1,1,5,2,,1,1,1,1,2,1,1,1,5,1,,1,2,2,9,3,1,1,3,,,0.9312795608139715,2.9143606632666326
309958,2024-04-09T17:45:08Z,2024-04-09T18:26:35Z,1,1,1,2,2,2,3,2,2,,,,,,,2,1,,2,1,,,1,2,3,2,1,5,5,5,5,5,1,2,2,,,,2,1,2,2,2,,,,1,3,2,5,1,1,2,2,,,,4,1,1,,2,,1,,3,,1,4,4,,,3,3,2,,,,1,2,,,3,4,3,,,,,,,1,2,3,4,3,5,3,,1,2,,1,2,1,,,,3,,,4,4,2,,1,,,,4,3,,2,2,3,3,,,1,4,9,2,4,2,1,6,1,1,1,1,3,1,5,2,2,2,5,1,,1,1,3,9,2,2,1,3,,,0.7671226758608642,0.6086966394180856
310031,2024-04-09T18:01:09Z,2024-04-09T18:13:08Z,2,1,2,,,,,,,2,2,1,3,1,3,1,1,1,,1,2,,5,5,5,5,5,1,1,1,1,1,2,,,1,1,2,,1,,,,1,1,1,1,1,5,1,1,,,,2,1,2,,1,,3,1,1,,2,,1,,,,3,3,,,,3,3,5,,,1,1,1,4,,1,1,1,1,2,1,,1,1,1,4,1,,5,2,,1,,,,2,1,1,,3,1,,,,,,2,,1,,,2,1,2,,,3,1,1,2,3,1,3,1,1,5,2,,1,2,2,1,6,2,2,2,5,2,,2,3,1,1,3,1,2,1,2,,0.15190580460188213,
310985,2024-04-10T00:31:31Z,2024-04-10T01:01:32Z,2,1,2,,,,,,,1,1,1,2,1,2,1,1,2,,1,2,,4,3,4,4,5,3,3,2,3,3,1,,,2,2,2,,2,,,,1,2,1,1,1,3,3,2,,,,1,2,2,,1,,1,1,1,,2,,3,,,,2,2,,,,1,2,4,,,2,2,2,3,,1,2,2,1,2,1,,1,1,2,2,1,,1,2,,1,,,,2,2,1,,1,2,,,,,,2,,2,,,2,2,2,,,3,1,1,1,1,2,4,2,1,5,2,,1,1,1,1,3,2,2,2,6,3,2,2,3,1,3,3,2,2,2,2,2,0.7867265516642843,0.8008441433522645
312458,2024-04-09T18:24:51Z,2024-04-09T18:57:30Z,2,1,1,3,2,1,1,1,3,,,,,,,1,1,,2,4,2,,5,5,5,5,5,3,3,3,2,1,2,1,1,,,,2,3,99,1,2,,,,3,3,5,2,1,2,2,2,,,,3,1,1,,3,,2,,3,,1,5,3,,,5,1,3,,,,2,2,,,1,99,3,,,,,,,1,2,3,4,3,1,4,,2,,2,99,2,1,,,,2,,,4,4,1,1,,,,,2,1,,1,6,1,3,,,1,3,5,3,3,2,3,1,2,,1,2,2,1,6,1,2,1,2,2,,2,4,1,1,4,4,2,1,2,,0.1839254942701901,
314113,2024-04-10T21:18:56Z,2024-04-10T21:48:33Z,2,1,1,3,3,99,3,99,2,,,,,,,1,1,,2,1,2,,5,3,5,5,5,3,4,3,3,3,2,2,2,,,,2,2,1,1,1,,,,3,3,4,2,1,1,2,2,,,,2,99,2,,1,,1,,3,,99,4,99,,,4,2,2,,,,2,2,,,1,2,3,,,,,,,1,2,2,2,2,2,3,,2,,99,1,2,2,,,,2,,,2,3,1,2,,,,,3,1,,2,2,1,3,,,1,3,7,2,4,2,3,1,2,,1,1,1,1,5,12,,3,4,3,99,9,9,1,1,3,,2,1,2,,1.7604968539928665,
314294,2024-04-09T17:49:38Z,2024-04-09T17:57:09Z,1,1,1,2,2,2,3,2,2,,,,,,,1,1,,2,1,2,,5,5,5,5,5,2,3,2,1,1,2,2,2,,,,2,2,1,1,2,,,,1,1,5,2,1,1,2,2,,,,1,2,1,,1,,2,,3,,1,3,3,,,2,1,1,,,,1,1,,,1,2,2,,,,,,,1,2,3,2,1,1,5,,2,,2,2,1,2,,,,2,,,3,3,2,,2,,,,3,1,,1,2,3,3,,,1,3,5,1,4,2,1,5,2,,1,1,1,1,1,1,2,1,6,3,2,2,3,1,9,3,2,2,3,2,2,0.5836771051372746,0.5420494423503983
314546,2024-04-09T18:09:58Z,2024-04-09T18:25:21Z,2,1,1,2,1,1,3,3,2,,,,,,,2,1,,3,4,1,,2,3,3,4,3,5,5,5,5,5,2,2,1,,,,2,2,2,2,2,,,,3,3,3,5,2,2,1,2,,,,5,1,3,,3,,1,,2,,1,5,3,,,5,4,2,,,,1,2,,,3,3,1,,,,,,,1,2,4,5,1,3,1,,1,1,,1,1,1,,,,3,,,3,4,2,,1,,,,4,3,,2,3,1,2,,,1,3,5,3,2,1,1,6,2,,1,1,1,1,1,1,1,1,5,3,1,1,1,1,8,2,2,2,2,1,1,0.7607959802366234,0.831386382517404
315194,2024-04-10T14:20:40Z,2024-04-10T14:40:05Z,1,1,1,1,2,1,1,1,1,,,,,,,2,1,,1,1,1,,1,1,1,1,1,5,5,5,5,5,1,2,2,,,,2,2,2,1,2,,,,1,1,1,5,2,2,2,2,,,,1,1,1,,2,,1,,3,,1,2,5,,,4,1,3,,,,1,1,,,2,4,3,,,,,,,1,2,4,4,2,3,4,,2,,2,1,1,1,,,,2,,,1,1,2,,2,,,,1,3,,1,2,1,2,,,1,1,2,2,4,1,3,2,2,,1,1,1,1,2,1,2,1,2,1,,1,1,1,7,2,2,1,2,1,,0.802711338982109,
